subjCode,Age_years,Gender,First_language,Normal_colour_vision,percentExtremesBelow,percentExtremesAbove,wordIdent,colourIdent,incon,interf_incon_vs_col,interf_Golden,accWordIdent,accColourIdent,accIncon,semo,attcon
564569,19,female,English,yes,0,2.2,1133,1246,1391,145,13.435,98.3,98.3,100,5,35
199688,19,female,English,yes,0,0,610,647,873,226,15.747,98.3,95,95,12,54
115099,18,female,English,yes,0,2.2,637,645,879,234,16.093,98.3,95,94.6,12,46
187403,19,female,English,yes,0,0,551,674,880,206,14.402,96.7,80,86.7,7,43
607770,19,male,English,yes,.6,2.8,787,841,1163,322,11.052,96.6,89.5,89.7,11,42
580884,18,female,English,yes,0,1.7,739,714,897,183,19.197,93.3,98.3,94.7,16,57
644606,19,female,English,yes,0,0,549,531,686,155,23.931,100,100,95,6,36
195673,19,female,English,yes,0,0,600,598,740,142,23.248,95,96.7,91.7,11,49
321932,19,female,English,yes,0,1.7,682,873,1193,320,8.781,100,98.3,98.3,11,59
268523,18,female,English,yes,0,.6,729,727,889,162,19.712,98.3,100,93.3,9,45
638134,20,female,English,yes,0,0,515,521,603,82,31.191,98.3,98.3,100,8,46
951069,19,female,English,yes,0,.6,590,611,856,245,15.101,93.3,95,89.8,15,44
93265,19,female,English,yes,0,.6,811,929,1181,252,12.241,100,98.3,96.7,9,46
935422,0,female,English,yes,0,0,640,637,794,157,21.436,96.7,100,98.3,8,42
409681,19,female,other,yes,0,.6,751,872,1124,252,12.309,90,88.3,94.9,11,53
773087,21,female,English,yes,0,2.8,768,743,943,200,17.938,95,93.3,90.9,7,33
574332,19,female,English,yes,0,.6,742,786,935,149,18.678,100,98.3,96.7,7,53
21043,21,male,English,yes,0,1.7,864,848,1173,325,12.078,93.3,88.3,78.9,10,44
693648,20,female,English,yes,0,0,611,651,894,243,14.678,91.7,95,95,11,27
216731,18,female,English,yes,0,1.1,713,756,847,91,22.496,98.3,96.6,93.2,10,56
825489,19,female,English,yes,22.2,2.2,637,623,0,-623,0,96.7,96.7,31.2,12,51
847534,23,female,other,yes,0,0,613,523,548,25,42.504,98.3,95,98.3,10,39
921269,18,female,English,yes,.6,.6,705,828,1072,244,12.623,100,94.9,96.6,7,48
306658,19,female,English,yes,0,0,654,569,667,98,30.671,100,91.7,96.7,9,43
349311,18,female,English,yes,0,3.3,833,835,1188,353,10.9,98.3,96.6,98.2,9,55
992266,19,female,English,yes,0,0,586,587,775,188,19.701,95,85,91.7,9,46
440999,19,female,English,yes,0,0,679,767,821,54,23.691,96.7,98.3,98.3,13,45
286772,19,female,English,yes,0,1.1,908,835,959,124,21.106,88.3,83.3,82.8,6,41
549010,19,female,English,yes,0,.6,609,649,910,261,13.679,96.7,100,98.3,13,41
910603,20,male,English,yes,.6,0,610,656,702,46,28.558,93.3,93.2,91.7,12,45
618445,19,female,English,yes,.6,14.4,1015,949,888,-61,27.763,75,93.5,94.5,10,39
794740,18,female,English,yes,0,2.2,937,988,1047,59,19.603,91.7,85,80.4,10,53
906401,20,female,English,yes,0,0,695,690,870,180,19.233,95,93.3,96.7,11,39
75611,19,female,English,yes,0,2.8,716,646,974,328,13.162,95,88.3,83.6,11,53
219825,19,female,English,yes,0,0,687,698,943,245,15.229,90,90,88.3,6,49
640283,19,female,English,yes,0,1.1,807,907,1145,238,13.047,100,95,91.4,8,46
760675,19,female,English,yes,0,.6,671,705,875,170,18.725,98.3,93.3,94.9,15,52
925014,19,female,English,yes,0,1.1,852,931,1181,250,12.865,100,100,98.3,6,46
167116,19,female,English,yes,0,1.1,854,853,1068,215,15.773,98.3,95,98.3,14,36
780897,19,female,English,yes,20,1.1,872,675,1118,443,11.162,95,65.2,89.8,13,51
141353,18,female,English,yes,0,1.1,674,637,822,185,20.42,90,91.5,88.1,10,28
684430,18,female,English,yes,0,.6,779,849,1015,166,16.694,98.3,98.3,96.6,11,60
1645,19,female,English,yes,0,.6,630,601,878,277,14.697,98.3,96.7,89.8,12,51
950017,20,male,other,yes,0,2.2,790,789,1156,367,10.428,98.3,93.3,96.4,12,54
97539,19,female,English,yes,0,1.7,825,713,970,257,17.133,100,100,98.2,6,45
585091,19,female,English,yes,0,3.3,751,779,1426,647,2.145,93.2,94.9,89.3,13,60
724814,19,female,English,yes,0,0,758,782,952,170,18.048,98.3,93.3,98.3,8,46
911295,19,female,English,yes,1.7,2.8,698,608,856,248,18.114,62.1,54.4,87.7,8,58
795524,19,female,English,yes,0,.6,690,777,971,194,15.669,95,100,94.9,12,48
514691,19,female,other,yes,0,.6,711,698,842,144,21.507,98.3,89.8,98.3,12,55
994646,19,female,English,yes,0,0,589,545,702,157,24.42,98.3,98.3,98.3,9,41
419958,19,female,English,yes,0,2.8,829,748,801,53,27.645,94.8,96.6,94.8,10,42
386497,18,female,English,yes,0,.6,588,587,814,227,16.985,100,96.6,95,10,58
922502,19,female,English,yes,0,0,905,839,1087,248,15.596,98.3,96.7,93.3,7,40
321448,19,male,English,yes,0,.6,773,769,1101,332,11.689,100,98.3,96.6,11,40
749334,19,female,English,yes,0,8.9,1413,1265,1312,47,17.495,94.4,94.3,93,11,51
532962,20,female,English,yes,1.1,0,767,807,947,140,18.929,98.3,86.7,89.7,15,51
813345,19,female,English,yes,0,.6,805,705,862,157,22.403,93.3,98.3,91.5,12,44
450641,19,female,English,yes,0,.6,594,609,1016,407,6.885,96.7,95,93.2,12,46
399909,20,female,English,yes,0,2.8,888,904,1014,110,19.267,96.6,94.9,93,10,49
