,session_id,age,ethnic,sex,sexuality_3,d_score,Mn_RT_all_3467,PCT_error_3467,Stimuli,tgaymen,tgaywomen,tstraightmen,tstraightwomen,att_5,aap1,aap7,ems1,ems4,ims3,ims4,ims4_7,countrycit,edu_13,major,politicalid_6,STATE,MSANo,CountyNo,MSAName
35506,1131390,50,5,m,0,.887554735806801,1032.03333333333,3.33333333333333,1,0,0,10,10,5,0,-3,2,2,-3,-3,-3,US,8,12,3,MA,44140,013,"Springfield, MA MSA"
35508,1131461,22,5,f,0,-.131649214721935,978.458333333333,16.6666666666667,2,10,10,10,10,3,2,-2,-2,-3,3,2,2,US,7,6,6,MA,44140,013,"Springfield, MA MSA"
35510,1057885,29,5,m,0,-.273698247276211,1195.475,14.1666666666667,1,7,8,7,8,3,-3,3,3,-3,3,3,3,US,7,4,6,MA,44140,013,"Springfield, MA MSA"
35511,1112803,45,5,f,1,-.688693612220846,1171.075,6.66666666666667,2,7,10,2,4,2,1,3,0,-3,3,3,3,US,5,6,3,MA,44140,013,"Springfield, MA MSA"
35512,1094878,38,5,m,1,-.359193204029611,860.341666666667,5.83333333333333,1,7,5,5,5,3,2,-1,-3,-3,3,3,3,US,12,6,6,MA,44140,013,"Springfield, MA MSA"
35513,1064445,30,5,f,0,-.390603771769122,986.975,8.33333333333333,2,6,6,6,6,3,1,1,3,1,3,3,3,US,9,5,5,MA,44140,013,"Springfield, MA MSA"
35515,1102574,35,5,f,0,.346372310513955,731.95,10.0,2,7,2,8,3,4,3,-3,3,-1,3,0,0,US,5,9,3,MA,38340,013,"Pittsfield, MA MSA"
35517,1088686,42,5,f,0,.37947567859427,734.991666666667,3.33333333333333,1,7,7,7,8,2,1,-1,2,-3,2,3,3,US,6,2,4,MA,38340,013,"Pittsfield, MA MSA"
35520,1152743,17,5,m,2,-.180451567249396,1257.08333333333,15.8333333333333,1,9,8,7,7,3,1,-1,-3,-3,3,3,3,US,3,,5,MA,44140,013,"Springfield, MA MSA"
35522,1095351,40,2,f,1,-.728077217637039,1273,3.33333333333333,2,5,8,5,8,3,2,2,3,3,3,3,3,US,9,13,5,MA,44140,013,"Springfield, MA MSA"
35523,1140879,22,5,f,2,.744412490681618,877.691666666667,7.5,1,9,10,8,8,3,0,-2,-3,-3,3,-3,-3,US,7,8,6,MA,44140,013,"Springfield, MA MSA"
35526,1138722,33,5,f,0,.0331237028882629,823.4,6.66666666666667,2,8,9,9,9,3,1,1,2,0,3,3,3,US,6,2,3,MA,49340,027,"Worcester, MA MSA"
35527,1093331,15,5,f,0,.573500041766852,855.491666666667,12.5,2,5,5,10,7,4,0,0,0,-1,-1,2,2,US,3,,4,MA,49340,027,"Worcester, MA MSA"
35529,1054744,14,4,f,2,.312822295814779,1360.24166666667,7.5,1,10,10,5,10,3,-3,0,1,0,3,0,0,US,3,13,1,MA,49340,027,"Worcester, MA MSA"
35532,1089445,19,5,m,0,.728462287382333,805.808333333333,17.5,1,1,7,7,10,5,1,-2,2,1,0,-1,-1,US,5,8,1,MA,49340,027,"Worcester, MA MSA"
35534,1134898,42,5,f,0,.0244821538423049,945.858333333333,6.66666666666667,2,7,7,8,8,3,-2,-2,-3,-3,3,3,3,US,5,8,6,MA,49340,027,"Worcester, MA MSA"
35536,1061212,36,5,m,1,-.622068897107561,925.691666666667,1.66666666666667,1,6,3,5,6,2,2,-2,0,-3,3,3,3,US,8,8,4,MA,49340,027,"Worcester, MA MSA"
35537,1078637,18,5,f,0,.491172381244831,954.35,8.33333333333333,1,5,5,5,5,3,-1,-1,1,-1,3,3,3,US,5,1,3,MA,49340,027,"Worcester, MA MSA"
35538,1119008,23,5,f,0,.160469691529344,845.016666666667,13.3333333333333,1,7,7,8,8,3,3,-1,3,0,2,1,1,US,8,10,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35539,1122903,25,2,f,0,.076069075204424,912.883333333333,14.1666666666667,2,5,5,5,5,3,-3,3,3,0,3,3,3,US,7,2,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35540,1114898,44,5,f,0,.584751688991127,755.925,5.83333333333333,2,8,8,8,8,3,2,2,1,-1,3,3,3,US,7,8,6,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35541,1142520,17,5,m,1,-.332502158296418,807.241666666667,3.33333333333333,1,6,8,3,8,2,1,-1,-3,-3,3,-3,-3,US,3,,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35542,1091801,27,5,f,0,-.650688411041741,874.125,0.833333333333333,1,8,7,8,7,3,1,3,0,-1,3,2,2,US,8,11,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35544,1079629,38,2,m,0,1.05497414878724,1188.45833333333,2.5,2,0,3,9,10,5,3,-2,2,0,1,3,3,MY,7,6,1,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35545,1145787,16,5,f,0,.643802600964171,904.6,12.5,1,5,0,10,10,4,1,0,3,3,3,3,3,US,4,,5,MA,14460,009,"Boston-Cambridge-Quincy, MA-NH MSA"
35547,1137603,23,5,m,2,.392018316722224,1094.35,6.66666666666667,2,6,6,7,6,2,-2,1,1,1,2,-1,-1,US,5,13,5,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
35549,1110170,15,5,m,2,.263539833047421,759.791666666667,16.6666666666667,1,7,4,5,9,3,-1,-1,3,1,3,3,3,US,3,,3,MA,14460,009,"Boston-Cambridge-Quincy, MA-NH MSA"
35553,1126118,45,5,f,0,-.131396456093343,761.85,5.83333333333333,2,8,7,8,8,4,2,-2,1,2,2,3,3,US,7,7,3,MA,14460,017,"Boston-Cambridge-Quincy, MA-NH MSA"
