,session_id,age,birthSex,genderIdentity,sexuality_5,race,d_score,Mn_RT_all_3467,PCT_error_3467,Stimuli,Overallgayexposure,Same_sexRights,att_7,Tgaymen,Tgayleswomen,Tstraightmen,Tstraightwomen,occuSelfDetail,religionid,edu_14,politicalid_7,countrycit_num,State,MSANo,CountyNo,MSAName,Assault_Offenses,Sex_Offenses,Drug_Offenses,Pornographic_Offenses,Prostitution_Offenses,Total_SCrimes,Total_Crime_rates
45,2662200757,27,2,2,2,6,-.294467726905926,1020.53333333333,0.0,1,4,5,1,9,10,1,4,29-2000,1,6,6,1,MO,41180,99,"St. Louis, MO-IL MSA",80256,4676,50732,892,175,136731,367190
81,2662201348,27,2,5,3,6,.275292939832711,982.691666666667,11.6666666666667,1,4,5,2,8,9,7,7,,1,5,7,1,AL,33660,97,"Mobile, AL MSA",73898,1900,43361,668,77,119904,257148
92,2662201501,80,1,1,1,6,.8326000264148,1984.93333333333,16.6666666666667,2,6,5,6,3,4,7,9,17-2000,3,9,2,1,MD,12580,3,"Baltimore-Towson, MD MSA",56010,3164,21399,602,113,81288,228407
99,2662201751,53,2,2,3,6,.00431129205180406,1016.91666666667,3.33333333333333,1,5,5,4,5,6,5,6,25-4000,1,9,7,1,PA,38300,3,"Pittsburgh, PA MSA",61606,5148,23348,1150,297,91549,263456
120,2662202197,60,1,1,1,6,.0464218215711542,1083.175,3.33333333333333,1,5,5,4,8,8,8,9,17-1000,1,12,6,225,CA,31100,37,"Los Angeles-Long Beach-Santa Ana, CA MSA",165486,12857,117419,1654,871,298287,871864
123,2662202290,60,2,2,1,6,.220668518895128,799.65,3.33333333333333,3,4,4,4,10,10,10,10,41-2000,2,6,2,1,TX,99041,399,TX NONMETROPOLITAN AREA,437755,23246,179836,5123,2723,648683,1694625
134,2662202590,25,2,2,1,6,-.342206713637023,749.266666666667,4.16666666666667,2,4,5,4,5,5,5,5,41-2000,2,7,5,1,KY,99017,107,KY NONMETROPOLITAN AREA,39877,3235,37762,722,45,81641,186329
146,2662202924,34,2,5,4,6,-.329998461372216,1120.09166666667,8.33333333333333,3,4,5,3,8,9,4,7,,1,7,7,1,MI,11460,161,"Ann Arbor, MI MSA",151275,11562,25763,1248,625,190473,461238
148,2662202957,22,2,2,4,6,.510311884606706,842.275,6.66666666666667,1,4,5,3,8,8,4,6,,1,5,6,1,IN,26900,57,"Indianapolis-Carmel, IN MSA",66875,4827,40632,845,94,113273,247211
211,2662204002,45,1,1,1,6,.00647853478267016,1136.16666666667,8.33333333333333,2,7,5,5,3,4,4,6,13-1000,1,7,5,1,MA,14460,17,"Boston-Cambridge-Quincy, MA-NH MSA",69888,4243,8553,945,268,83897,226686
232,2662204546,40,1,1,1,5,.559233427801599,1104.11666666667,4.16666666666667,1,6,10,5,8,8,8,8,259,3,9,4,158,TX,17780,41,"College Station-Bryan, TX MSA",437755,23246,179836,5123,2723,648683,1694625
317,2662206424,28,1,1,3,6,-.0737412013396841,1029.08333333333,9.16666666666667,3,5,4,4,10,10,10,10,41-2000,4,5,6,1,MO,44180,77,"Springfield, MO MSA",80256,4676,50732,892,175,136731,367190
329,2662206558,41,2,2,1,6,.22422727865644,811.125,3.33333333333333,1,5,5,4,6,6,8,6,35-2000,3,6,7,1,KY,99017,217,KY NONMETROPOLITAN AREA,39877,3235,37762,722,45,81641,186329
337,2662206730,22,2,2,1,6,.710922824425646,1278.85833333333,4.16666666666667,2,4,5,5,8,5,10,10,35-3000,2,5,3,1,PA,37980,17,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",61606,5148,23348,1150,297,91549,263456
340,2662206772,41,2,2,2,6,-.872530217673202,1043.75,0.0,2,4,5,2,10,10,5,10,25-1000,1,12,7,1,VA,99044,147,VA NONMETROPOLITAN AREA,100568,6182,32421,2252,349,141772,413663
357,2662207072,22,2,2,1,8,-.574213891224467,1041.175,10.8333333333333,3,4,5,4,9,9,8,9,35-3000,1,5,6,1,PA,42540,79,"Scranton--Wilkes-Barre, PA MSA",61606,5148,23348,1150,297,91549,263456
363,2662207157,42,2,2,3,6,.733791956757604,1308.49166666667,10.8333333333333,2,4,5,4,10,10,10,10,41-2000,2,6,4,1,TX,41700,29,"San Antonio, TX MSA",437755,23246,179836,5123,2723,648683,1694625
376,2662207446,29,2,2,1,5,.478729959751437,1575.325,2.5,3,5,5,4,10,10,10,10,41-2000,1,5,4,1,AZ,38060,13,"Phoenix-Mesa-Scottsdale, AZ MSA",53000,3949,39724,1039,369,98081,231651
378,2662207470,17,2,2,1,6,-.725721553402903,1069.66666666667,7.5,2,4,5,3,8,7,4,7,,1,3,6,1,VA,47900,59,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",100568,6182,32421,2252,349,141772,413663
391,2662207765,49,1,1,2,6,-.604261650191994,1143.31666666667,0.833333333333333,1,4,5,3,9,9,7,5,29-1000,2,13,5,1,MI,19820,163,"Detroit-Warren-Livonia, MI MSA",151275,11562,25763,1248,625,190473,461238
407,2662208072,48,2,2,1,5,.864897753339709,1351.68333333333,3.33333333333333,2,4,6,4,6,8,6,8,21-1000,3,7,6,1,PA,21500,49,"Erie, PA MSA",61606,5148,23348,1150,297,91549,263456
431,2662208628,65,2,2,5,6,.586161531370541,1502.15833333333,5.83333333333333,2,5,4,4,7,4,5,7,31-1000,3,6,2,1,NV,29820,3,"Las Vegas-Paradise, NV MSA",61511,3871,19292,406,2370,87450,216218
438,2662208737,60,1,1,1,6,.126081960783527,1047.26666666667,1.66666666666667,1,5,5,4,5,5,4,5,27-1000,1,9,6,1,CA,41860,13,"San Francisco-Oakland-Fremont, CA MSA",165486,12857,117419,1654,871,298287,871864
